iter	RMSE
0	19.15733626
1	16.21080131
2	13.75460109
3	11.64106729
4	9.85317354
5	8.359035216
6	7.097047325
7	6.056094279
8	5.146516096
9	4.383771602
10	3.730507947
11	3.197670245
12	2.742272774
13	2.368711729
14	2.051903967
15	1.788640497
16	1.57411344
17	1.394086076
18	1.245512107
19	1.126422943
20	1.027925556
21	0.9477613662
22	0.8812307362
23	0.8346902337
24	0.7953115482
25	0.7635453746
26	0.7345749248
27	0.7119137451
28	0.695231548
29	0.6791438534
30	0.6622446971
31	0.6477259744
32	0.6359301191
33	0.6263263492
34	0.6112429177
35	0.6039971817
36	0.5870673492
37	0.5810638162
38	0.5732382699
39	0.5665479576
40	0.5594723937
41	0.5535185933
42	0.5473831226
43	0.5418206729
44	0.5362330084
45	0.5261203668
46	0.5211743344
47	0.5158364017
48	0.5088314076
49	0.5051540306
50	0.4997816111
51	0.4942489967
52	0.4874581793
53	0.482485028
54	0.4779960825
55	0.4738639739
56	0.4690062093
57	0.4656054831
58	0.4618866711
59	0.4574436914
60	0.4499607483
61	0.4467911587
62	0.4437602186
63	0.4406624243
64	0.4361500818
65	0.430629646
66	0.4223828253
67	0.4194532766
68	0.4168853027
69	0.411538604
70	0.4081483068
71	0.4052012225
72	0.4027827127
73	0.3997258533
74	0.3937296081
75	0.3893233744
76	0.3867511219
77	0.3821841514
78	0.3790160314
79	0.3764222081
80	0.3740026546
81	0.3718263802
82	0.3680795381
83	0.365076324
84	0.3631583931
85	0.3603197569
86	0.3574364465
87	0.3541367904
88	0.3512835703
89	0.3497218109
90	0.347965846
91	0.3454025452
92	0.3436652282
93	0.3413099977
94	0.3385835335
95	0.3372636381
96	0.3354865936
97	0.3331192517
98	0.3314370479
99	0.3295483592
100	0.327869039
101	0.3253320064
102	0.3238852872
103	0.3222323196
104	0.3200397291
105	0.317021739
106	0.3154052494
107	0.3129777164
108	0.3119853416
109	0.3105880047
110	0.30859815
111	0.3074445032
112	0.3060273353
113	0.3048363033
114	0.3028350161
115	0.30090257
116	0.2994978477
117	0.2978842487
118	0.2957899941
119	0.2943579305
120	0.2924219266
121	0.2914236327
122	0.2897301017
123	0.2874791574
124	0.286222412
125	0.2845768011
126	0.2833234408
127	0.2818368622
128	0.2803826157
129	0.2788071425
130	0.2772904234
131	0.2763158046
132	0.2750264393
133	0.2730626079
134	0.2716896922
135	0.2710595524
136	0.2696846678
137	0.2682721732
138	0.2668383152
139	0.2656566171
140	0.2645047213
141	0.2627655784
142	0.2616300832
143	0.2601311481
144	0.2592777331
145	0.2581641046
146	0.2572046177
147	0.2559332736
148	0.2544887961
149	0.2530943702
150	0.2518769609
151	0.2505005175
152	0.2493672284
153	0.2481084503
154	0.2471724124
155	0.2457415599
156	0.2446483385
157	0.2440652699
158	0.2430343534
159	0.2418763868
160	0.2412089772
161	0.2404438054
162	0.2382994883
163	0.236901807
164	0.2362009835
165	0.2353385099
166	0.2343479415
167	0.2336845147
168	0.2333445876
169	0.2322899943
170	0.2314449236
171	0.2301226462
172	0.2292523636
173	0.2281214989
174	0.2269888478
175	0.2261681349
176	0.2255180007
177	0.2245764103
178	0.2236659943
179	0.2229332238
180	0.2222785425
181	0.2214988587
182	0.2209396857
183	0.2201199281
184	0.2191573828
185	0.218553663
186	0.2180322818
187	0.2174654491
188	0.2165421529
189	0.2159208996
190	0.2153510193
191	0.2148183211
192	0.2142691412
193	0.2132200378
194	0.2121184166
195	0.2111440196
196	0.2100441857
197	0.2094397127
198	0.2089105914
199	0.2081051031
200	0.2078637747
201	0.2070589323
202	0.2065665777
203	0.20607508
204	0.2056637141
205	0.205252605
206	0.2045244399
207	0.2039472206
208	0.2033376038
209	0.2027992354
210	0.2021163776
211	0.20145104
212	0.2007009227
213	0.2001548408
214	0.1993909395
215	0.1988067895
216	0.1982601426
217	0.197909642
218	0.1973788645
219	0.1966866294
220	0.1963217531
221	0.1958662187
222	0.1951016684
223	0.1945687759
224	0.1940344843
225	0.193280231
226	0.1928580676
227	0.1922281197
228	0.1916908938
229	0.1911528582
230	0.1906765735
231	0.1899277242
232	0.189538144
233	0.1890976195
234	0.1885435606
235	0.1877841301
236	0.1870538641
237	0.1865589536
238	0.1858047377
239	0.1852557856
240	0.1847398386
241	0.1843598407
242	0.1837501482
243	0.1833765663
244	0.1829969694
245	0.1825136447
246	0.1817066889
247	0.1812438236
248	0.1805726181
249	0.1798698859
250	0.1792876737
251	0.1787699738
252	0.1779606266
253	0.1771287819
254	0.1767895502
255	0.1763498331
256	0.1759675276
257	0.1754718247
258	0.1749413358
259	0.1745449058
260	0.1741847429
261	0.1738464336
262	0.1730794451
263	0.1727255863
264	0.1722273143
265	0.1717883152
266	0.1712398505
267	0.170882286
268	0.1703578783
269	0.1699551431
270	0.1696704314
271	0.1690446613
272	0.1683380564
273	0.1681535807
274	0.1677574349
275	0.1672884407
276	0.166668268
277	0.1663723207
278	0.165981728
279	0.165538737
280	0.1650403395
281	0.1650376008
282	0.164432223
283	0.1641581012
284	0.1638150062
285	0.1633183845
286	0.1633158056
287	0.1628141317
288	0.1625327112
289	0.1622601489
290	0.1618598101
291	0.1614991486
292	0.1608930086
293	0.1606216119
294	0.160264485
295	0.159691234
296	0.1592805042
297	0.1588775226
298	0.1585747364
299	0.1583307206
300	0.157994365
301	0.1578338169
302	0.1576533875
303	0.1573911166
304	0.1571622765
305	0.15686497
306	0.1563977237
307	0.1560000575
308	0.1553284652
309	0.1550291703
310	0.1547676121
311	0.1540669335
312	0.1537152741
313	0.1533606928
314	0.1529465497
315	0.1526206278
316	0.1522508065
317	0.1517384196
318	0.1514748126
319	0.1510795548
320	0.15079522
321	0.1505181278
322	0.150214101
323	0.1500542351
324	0.1498109149
325	0.1494545997
326	0.1490651823
327	0.1486015106
328	0.1482555987
329	0.1477254856
330	0.147438622
331	0.1471949441
332	0.1469250614
333	0.1465795736
334	0.1461317325
335	0.145870665
336	0.1456252715
337	0.1452760747
338	0.1449804811
339	0.1445344088
340	0.1440187529
341	0.1436375113
342	0.1435892839
343	0.1433876684
344	0.1431091921
345	0.1426271358
346	0.1425845249
347	0.142263771
348	0.1420969495
349	0.1417630253
350	0.1413007454
351	0.1409901802
352	0.1405949767
353	0.1402501179
354	0.1399579194
355	0.1395921488
356	0.1392979737
357	0.1390123519
358	0.1389276712
359	0.1387343408
360	0.1386962874
361	0.1382777563
362	0.1380673882
363	0.1375136759
364	0.137333967
365	0.1370200307
366	0.1367728462
367	0.1364928996
368	0.1361840762
369	0.1358908612
370	0.1356944982
371	0.1355018223
372	0.1352410809
373	0.1350290507
374	0.1346092124
375	0.1343997733
376	0.1340156986
377	0.1338168567
378	0.1335366983
379	0.1332495037
380	0.1329815821
381	0.1326678863
382	0.1324470381
383	0.1322082692
384	0.1317868187
385	0.1316110147
386	0.1312696767
387	0.1309615501
388	0.1305030492
389	0.1302332006
390	0.1299386579
391	0.1296903441
392	0.1294799175
393	0.12930223
394	0.1291214002
395	0.1289601467
396	0.1286529368
397	0.128421818
398	0.128165
399	0.1279134413
400	0.1276599258
401	0.1273495728
402	0.1272302166
403	0.1270526366
404	0.1268746514
405	0.1265780176
406	0.1264276216
407	0.1262343084
408	0.1260637197
409	0.1257064058
410	0.1254685862
411	0.1252749619
412	0.1249993206
413	0.1248116565
414	0.1246727997
415	0.1244303984
416	0.1242611546
417	0.1240108964
418	0.1238058645
419	0.1236661822
420	0.1233605666
421	0.1230648516
422	0.1228512029
423	0.1226635356
424	0.1224590701
425	0.1221648263
426	0.1220441311
427	0.1218777407
428	0.1216670006
429	0.1214651448
430	0.1212835555
431	0.1209802925
432	0.1207255642
433	0.1204588736
434	0.1202379358
435	0.1198291184
436	0.1196434673
437	0.1194583921
438	0.1192664229
439	0.1190191778
440	0.1187854287
441	0.1185486822
442	0.1183858616
443	0.1181618238
444	0.1179083374
445	0.1176653658
446	0.1174185576
447	0.1172198937
448	0.1170419628
