iter	Passed	Remaining
0	77	36587
1	144	34206
2	217	34331
3	293	34613
4	369	34836
5	449	35226
6	527	35371
7	609	35682
8	686	35635
9	761	35473
10	837	35388
11	912	35264
12	985	35089
13	1059	34956
14	1130	34754
15	1209	34785
16	1286	34731
17	1368	34821
18	1449	34870
19	1529	34881
20	1603	34748
21	1679	34665
22	1755	34572
23	1830	34483
24	1905	34376
25	1980	34283
26	2058	34239
27	2133	34142
28	2210	34067
29	2285	33980
30	2363	33920
31	2437	33815
32	2511	33708
33	2583	33591
34	2661	33539
35	2737	33453
36	2812	33375
37	2886	33272
38	2957	33140
39	3033	33070
40	3107	32967
41	3180	32860
42	3253	32759
43	3324	32636
44	3402	32589
45	3480	32533
46	3558	32481
47	3634	32409
48	3708	32314
49	3782	32227
50	3859	32166
51	3936	32094
52	4014	32040
53	4088	31951
54	4165	31885
55	4243	31822
56	4321	31764
57	4395	31679
58	4469	31588
59	4542	31492
60	4613	31388
61	4683	31276
62	4759	31199
63	4831	31105
64	4908	31038
65	4984	30963
66	5060	30890
67	5137	30824
68	5211	30738
69	5288	30674
70	5364	30599
71	5442	30539
72	5530	30530
73	5612	30491
74	5689	30422
75	5769	30363
76	5848	30304
77	5924	30227
78	6000	30155
79	6074	30069
80	6150	29991
81	6224	29908
82	6299	29826
83	6371	29735
84	6449	29666
85	6525	29593
86	6601	29515
87	6675	29431
88	6750	29353
89	6825	29274
90	6898	29187
91	6972	29103
92	7048	29027
93	7123	28947
94	7200	28876
95	7272	28787
96	7346	28705
97	7423	28633
98	7500	28560
99	7572	28471
100	7643	28379
101	7716	28295
102	7786	28196
103	7861	28121
104	7937	28046
105	8007	27950
106	8080	27867
107	8152	27777
108	8224	27690
109	8300	27619
110	8378	27551
111	8473	27539
112	8561	27503
113	8636	27424
114	8714	27357
115	8796	27300
116	8872	27223
117	8947	27146
118	9022	27066
119	9100	26997
120	9180	26933
121	9256	26860
122	9332	26782
123	9406	26702
124	9477	26613
125	9546	26518
126	9618	26430
127	9691	26349
128	9769	26277
129	9842	26196
130	9920	26125
131	9993	26044
132	10072	25975
133	10148	25901
134	10222	25821
135	10300	25750
136	10377	25678
137	10452	25600
138	10532	25536
139	10610	25464
140	10684	25384
141	10767	25325
142	10844	25254
143	10919	25176
144	10994	25096
145	11072	25025
146	11150	24954
147	11226	24879
148	11303	24806
149	11381	24734
150	11459	24665
151	11539	24597
152	11623	24537
153	11696	24457
154	11772	24380
155	11850	24308
156	11925	24231
157	11998	24148
158	12069	24062
159	12144	23985
160	12213	23895
161	12281	23804
162	12358	23731
163	12436	23659
164	12513	23585
165	12589	23509
166	12668	23440
167	12744	23365
168	12821	23291
169	12900	23220
170	12976	23145
171	13050	23066
172	13127	22992
173	13201	22912
174	13270	22824
175	13341	22741
176	13413	22658
177	13487	22580
178	13567	22511
179	13643	22436
180	13717	22357
181	13800	22292
182	13872	22211
183	13947	22134
184	14025	22062
185	14099	21982
186	14174	21906
187	14250	21831
188	14324	21752
189	14398	21673
190	14467	21587
191	14544	21513
192	14621	21439
193	14694	21360
194	14774	21290
195	14851	21216
196	14929	21143
197	15002	21064
198	15080	20991
199	15151	20909
200	15226	20832
201	15298	20751
202	15376	20678
203	15451	20601
204	15526	20524
205	15604	20452
206	15682	20379
207	15759	20305
208	15836	20231
209	15909	20152
210	15985	20076
211	16061	20001
212	16140	19929
213	16216	19853
214	16291	19777
215	16370	19705
216	16446	19630
217	16524	19556
218	16600	19481
219	16676	19405
220	16754	19332
221	16829	19255
222	16906	19180
223	16985	19108
224	17059	19030
225	17137	18957
226	17213	18882
227	17289	18806
228	17367	18732
229	17445	18659
230	17518	18580
231	17596	18507
232	17670	18429
233	17746	18352
234	17820	18275
235	17899	18202
236	17977	18129
237	18051	18051
238	18128	17976
239	18203	17900
240	18275	17820
241	18347	17741
242	18418	17660
243	18486	17577
244	18565	17504
245	18642	17429
246	18717	17353
247	18796	17280
248	18868	17201
249	18949	17130
250	19026	17055
251	19104	16981
252	19181	16906
253	19256	16830
254	19331	16753
255	19408	16679
256	19479	16599
257	19551	16520
258	19623	16441
259	19695	16362
260	19765	16281
261	19831	16198
262	19905	16121
263	19979	16043
264	20056	15969
265	20130	15892
266	20209	15819
267	20283	15742
268	20358	15666
269	20432	15589
270	20508	15513
271	20584	15438
272	20660	15362
273	20735	15286
274	20812	15211
275	20928	15165
276	21004	15089
277	21080	15014
278	21157	14939
279	21232	14862
280	21314	14791
281	21340	14680
282	21423	14610
283	21499	14535
284	21576	14460
285	21657	14387
286	21696	14288
287	21773	14213
288	21851	14139
289	21927	14063
290	22007	13991
291	22085	13916
292	22159	13840
293	22233	13763
294	22306	13686
295	22385	13612
296	22463	13538
297	22539	13463
298	22617	13388
299	22691	13312
300	22761	13233
301	22834	13156
302	22908	13079
303	22983	13003
304	23056	12926
305	23136	12853
306	23209	12776
307	23287	12702
308	23363	12627
309	23437	12550
310	23518	12477
311	23592	12401
312	23670	12326
313	23746	12251
314	23820	12174
315	23889	12096
316	23960	12018
317	24030	11939
318	24108	11865
319	24184	11789
320	24259	11714
321	24338	11640
322	24416	11565
323	24488	11488
324	24565	11413
325	24639	11337
326	24716	11262
327	24791	11186
328	24867	11110
329	24945	11036
330	25018	10959
331	25097	10885
332	25169	10808
333	25242	10731
334	25317	10655
335	25393	10580
336	25469	10505
